simplified,traditional,pinyin,meaning,frequency,hsk_level,pos,radical
动力,動力,dòng lì,(fig.) motivation ; force ; impetus ; motive power,2740,3,n,力
动脉,動脈,dòng mài,artery,5572,7,n,力
动人,動人,dòng rén,moving ; touching,7579,3,a,力
动身,動身,dòng shēn,to go on a journey ; to leave,15560,7,v,力
动手,動手,dòng shǒu,to hit ; to punch ; to set about (a task) ; to touch,3357,5,"v,vn",力
动态,動態,dòng tài,development ; dynamic (science) ; motion ; movement ; trend,6636,5,n,力
动听,動聽,dòng tīng,pleasant to listen to,13115,7,a,力
动物,動物,dòng wù,animal,1438,2,n,力
动物园,動物園,dòng wù yuán,zoo,9030,2,n,力
动向,動向,dòng xiàng,trend; tendency,13442,7,n,力
动摇,動搖,dòng yáo,to destabilize ; to pose a challenge to ; to rattle ; to rock ; to sway ; to waver,8871,4,"v,an,a",力
动用,動用,dòng yòng,to put sth to use ; to utilize,8160,7,v,力
动员,動員,dòng yuán,mobilization ; to mobilize,10037,5,"v,vn",力
动作,動作,dòng zuò,movement; motion; action ; to act; to move,1418,1,"n,v",力
冻,凍,dòng,aspic or jelly ; to feel very cold ; to freeze,3883,5,v,冫
冻结,凍結,dòng jié,"(fig.) to freeze (assets, prices etc) ; to freeze (water etc)",8844,7,"v,vn",冫
栋,棟,dòng,classifier for houses or buildings ; ridgepole (old),3370,7,"q,g",木
栋梁,棟梁,dòng liáng,mainstay (of organization) ; person able to bear heavy responsibility ; pillar (of state) ; ridgepole ; ridgepole and beams,46500,7,n,木
洞,洞,dòng,cave ; hole ; zero (unambiguous spoken form when spelling out numbers),2225,5,"n,g",氵
都,都,Dū | dōu | dū,(not) at all ; (used for emphasis) even ; all; both; entirely ; already ; capital city ; metropolis ; surname Du,25,1,"d,g",阝
都会,都會,dū huì,city ; metropolis,4120,7,n,阝
都市,都市,dū shì,city; metropolis,5804,6,n,阝
兜,兜 | 兠,dōu,bag ; combat armor (old) ; old variant of 兜 ; pocket ; to canvas or solicit ; to disclose in detail ; to move in a circle ; to take responsibility for ; to wrap up or hold in a bag,6727,7,"v,q,n",儿
兜儿,兜兒,dōu r,bag ; erhua variant of 兜 ; pocket,96255,7,,儿
兜售,兜售,dōu shòu,to hawk ; to peddle,19665,7,"v,vn",儿
抖,抖,dǒu,to make it in the world ; to reveal ; to shake out ; to tremble,6478,7,v,扌
陡,陡,dǒu,abrubtly ; precipitous ; steep ; suddenly ; unexpectedly,20491,7,a,阝
斗,斗 | 鬥 | 鬦 | 鬪 | 鬭,Dǒu | dòu | dǒu,abbr. for the Big Dipper constellation 星 ; coming together ; cup or dipper shaped object ; decaliter ; dry measure for grain equal to ten 升 or one-tenth of a 石 ; old variant of 陡 ; peck ; to censure ; to condemn ; to contend ; to fight ; to put together ; to struggle ; variant of 斗,2960,7,"v,n,q",斗
斗争,鬥爭,dòu zhēng,a struggle ; battle ; fight,2672,6,"vn,v",斗
斗志,鬥志,dòu zhì,fighting spirit ; will to fight,11589,7,n,斗
豆腐,豆腐,dòu fu,bean curd ; tofu,6407,4,n,豆
豆浆,豆漿,dòu jiāng,soy milk,20620,7,n,豆
豆制品,豆製品,dòu zhì pǐn,legume-based product ; soybean product,37535,5,n,豆
豆子,豆子,dòu zi,bean ; pea,13765,7,n,豆
逗,逗,dòu,(coll.) funny; amusing ; (coll.) to joke ; brief pause at the end of a phrase (variant of 读) ; to stay; to sojourn ; to tease (playfully); to entice,4825,7,v,辶
督促,督促,dū cù,to supervise and urge completion of a task ; to urge on,15561,7,v,目
毒,毒,dú,cruel ; fierce ; malicious ; narcotics ; poison ; poisonous ; to poison,1958,5,"n,a,v",母
毒品,毒品,dú pǐn,drugs ; narcotics ; poison,3565,6,n,母
独,獨,dú,alone ; independent ; only ; single ; sole,3635,7,"d,a",犭
独唱,獨唱,dú chàng,(in singing) solo ; to solo,22679,7,"vn,v",犭
独家,獨家,dú jiā,exclusive,6451,7,"d,b",犭
独立,獨立,dú lì,independence ; independent ; to stand alone,1876,4,"a,v,ad,an,vn",犭
独立自主,獨立自主,dú lì zì zhǔ,independent and autonomous (idiom); self-determination ; to act independently ; to maintain control over one's own affairs,26162,7,v,犭
独身,獨身,dú shēn,single ; unmarried,23623,7,n,犭
独特,獨特,dú tè,unique; distinctive,3375,4,a,犭
独一无二,獨一無二,dú yī wú èr,nothing compares with it ; unique and unmatched (idiom); unrivalled,8494,7,l,犭
独自,獨自,dú zì,alone,3634,4,d,犭
读,讀,dòu | dú,comma ; phrase marked by pause ; to attend (school); to study (a subject in school) ; to pronounce ; to read ; to read out; to read aloud,1013,1,v,讠
读书,讀書,dú shū,to attend school ; to read a book ; to study,3285,1,"v,vn",讠
读音,讀音,dú yīn,literary (rather than colloquial) pronunciation of a Chinese character ; pronunciation,28795,2,n,讠
读者,讀者,dú zhě,reader,4369,3,n,讠
堵,堵,dǔ,"(classifier for walls) ; (fig.) (of a person) choked up with anxiety or stress ; to block up (a road, pipe etc) ; to stop up (a hole) ; wall (literary)",3782,4,"v,q",土
堵车,堵車,dǔ chē,(of traffic) to get congested ; traffic jam,10563,4,"v,vn",土
堵塞,堵塞,dǔ sè,blockage ; to clog up,9777,7,"v,vn",土
赌,賭,dǔ,to bet ; to gamble,2992,6,v,贝
赌博,賭博,dǔ bó,to gamble,5072,6,"v,vn",贝
妒忌,妒忌,dù jì,envy ; to be envious ; to be jealous of (sb's achievements etc),13608,7,v,女
杜绝,杜絕,dù jué,to put an end to,19250,7,v,木
肚子,肚子,dù zi,abdomen ; belly ; stomach,2763,4,"n,q",⺼
度,度,duó | dù,"Taiwan pr. [duò] ; classifier for events and occurrences ; degree (angles, temperature etc) ; degree of intensity ; extent ; kilowatt-hour ; limit ; measure ; to estimate ; to pass ; to spend (time)",925,2,"qv,v,g",广
度过,度過,dù guò,to get through ; to pass ; to spend (time) ; to survive,2905,4,v,广
度假,度假,dù jià,to go on holidays ; to spend one's vacation,5431,7,"v,vn",广
渡,渡,dù,to cross ; to ferry ; to pass through,6175,6,v,氵
渡过,渡過,dù guò,to cross over ; to pass through,9731,7,v,氵
端,端 | 耑,duān,end ; extremity ; item ; old variant of 端 ; origin ; port ; regular ; start ; to carry ; to hold sth level with both hands,2412,6,"v,q,g",立
端午节,端午節,Duān wǔ jié,Dragon Boat Festival (5th day of the 5th lunar month),56867,6,t,立
端正,端正,duān zhèng,correct ; proper ; regular ; upright,16934,7,"v,a",立
短,短,duǎn,brief ; fault ; short ; to lack ; weak point,983,2,a,矢
短处,短處,duǎn chù,defect ; fault ; one's weak points ; shortcoming,32713,3,n,矢
短裤,短褲,duǎn kù,short pants ; shorts,9325,3,n,矢
短片,短片,duǎn piàn,short film ; video clip,11071,6,n,矢
短期,短期,duǎn qī,short term ; short-term,5844,3,"b,d",矢
短缺,短缺,duǎn quē,shortage,11712,7,"v,vn",矢
短信,短信,duǎn xìn,SMS ; text message,1000000,2,,矢
短暂,短暫,duǎn zàn,of short duration; brief; momentary,5349,7,"a,ad",矢
段,段,Duàn | duàn,"classifier for stories, periods of time, lengths of thread etc ; paragraph ; section ; segment ; stage (of a process) ; surname Duan",647,2,"q,g",殳
段落,段落,duàn luò,(written) passage ; paragraph ; phase ; time interval,24046,7,n,殳
断,斷,duàn,(usu. used in the negative) absolutely ; decidedly ; definitely ; to break ; to cut off ; to give up or abstain from sth ; to judge ; to snap,1707,3,"v,vn",斤
断定,斷定,duàn dìng,to come to a judgment ; to conclude ; to determine,13050,7,v,斤
断断续续,斷斷續續,duàn duàn xù xù,discontinuous ; disjointed ; inarticulate ; intermittent ; off and on ; stammering ; stop-go,22968,7,l,斤
断裂,斷裂,duàn liè,fracture ; rupture ; to break apart,10375,7,"v,vn",斤
锻炼,鍛鍊,duàn liàn,(fig.) to develop one's skills ; to engage in physical exercise ; to temper ; to toughen ; to train oneself ; to work out,3764,4,"v,vn",钅
堆,堆,duī,a mass ; heap ; large amount ; pile ; stack ; to heap up ; to pile up,2915,5,"q,v,k,n",土
堆砌,堆砌,duī qì,fig. to pad out (writing with fancy phrases) ; lit. to pile up (bricks) ; ornate rhetoric ; to pack,36363,7,v,土
队,隊,duì,group ; squadron ; team,422,2,"n,q",阝
队伍,隊伍,duì wǔ,line ; procession ; queue ; ranks ; troops,1484,6,n,阝
队形,隊形,duì xíng,formation,19755,7,n,阝
队员,隊員,duì yuán,team member,1688,3,n,阝
队长,隊長,duì zhǎng,captain ; team leader,3177,2,n,阝
对,對,duì,(bound form) opposite; facing; matching ; classifier: couple; pair ; concerning; regarding ; right; correct ; to add; to pour in (a fluid) ; to answer; to reply ; to check; to compare ; to face ; to fit; to suit ; to match together; to adjust ; to treat (sb a certain way) ; towards; at; for,28,1,"p,v,q,a",寸
对白,對白,duì bái,dialogue (in a movie or a play),19070,7,n,寸
对比,對比,duì bǐ,contrast ; ratio ; to contrast,5260,4,"vn,v",寸
对不起,對不起,duì bu qǐ,I'm sorry; excuse me; I beg your pardon ; to let (sb) down; to disappoint,1577,1,v,寸
对策,對策,duì cè,countermeasure for dealing with a situation,9719,7,n,寸
对称,對稱,duì chèn,symmetrical ; symmetry,13912,7,"a,ad",寸
对待,對待,duì dài,to treat ; treatment,2429,3,"v,vn",寸
对得起,對得起,duì de qǐ,be worthy of ; not to let sb down ; to treat sb fairly,17263,7,v,寸
对方,對方,duì fāng,the other person; the other side; the other party,1158,3,n,寸
对付,對付,duì fu,(dialect) (usu. used in the negative) to get along with (sb) ; to get by with; to make do ; to handle; to deal with; to tackle,3169,4,v,寸
对话,對話,duì huà,dialogue; conversation ; to talk (with sb),3221,2,"vn,v",寸
对抗,對抗,duì kàng,antagonism ; confrontation ; to resist ; to stand off ; to withstand,4063,6,"v,vn",寸
对立,對立,duì lì,antithetical ; diametrical ; opposing ; relative opposite ; to be antagonistic to ; to oppose ; to set sth against,12725,5,"v,vn",寸
对联,對聯,duì lián,pair of lines of verse written vertically down the sides of a doorway ; rhyming couplet,47502,7,n,寸
对面,對面,duì miàn,(sitting) opposite ; across (the street) ; directly in front ; to be face to face,3939,2,"f,n,v",寸
对手,對手,duì shǒu,(well-matched) adversary ; competitor ; match ; opponent ; rival,1603,3,n,寸
对外,對外,duì wài,external ; foreign ; pertaining to external or foreign (affairs),6167,6,"v,vn",寸
对象,對象,duì xiàng,partner; boyfriend; girlfriend ; target; object,1912,3,n,寸
对弈,對弈,duì yì,"to play go, chess etc",43779,7,"v,vn",寸
对应,對應,duì yìng,to correspond (to); to be equivalent to; to be a counterpart to,9540,5,"v,vn",寸
对于,對於,duì yú,regarding; as far as (sth) is concerned; with regard to,490,4,p,寸
对照,對照,duì zhào,to check ; to compare ; to contrast ; to place side by side for comparison (as parallel texts),10916,7,"v,vn",寸
对峙,對峙,duì zhì,confrontation ; to confront ; to stand opposite,14325,7,"v,vn",寸
对准,對準,duì zhǔn,alignment (mechanical engineering) ; registration ; to aim at ; to be directed at ; to point at ; to target,9531,7,v,寸
兑换,兌換,duì huàn,to convert ; to exchange,11279,7,"v,vn",儿
兑现,兌現,duì xiàn,(of a check etc) to cash ; to honor a commitment,7819,7,"v,vn",儿
吨,噸,dūn,Taiwan pr. [dùn] ; ton (loanword),4023,5,q,口
敦促,敦促,dūn cù,to hasten ; to press ; to urge,23516,7,v,攵
敦厚,敦厚,dūn hòu,genuine ; honest and sincere,59499,7,a,攵
蹲,蹲,dūn,to crouch ; to squat ; to stay (somewhere),3836,6,v,足
炖,燉,dùn,to stew,6833,7,v,火
顿,頓,dùn,"at once ; classifier for meals, beatings, scoldings etc: time, bout, spell, meal ; to arrange ; to kowtow ; to lay out ; to pause ; to stamp (one's foot) ; to stop",1617,3,"qv,g",页
顿时,頓時,dùn shí,immediately ; suddenly,13943,7,d,页
多,多,duō,(after a numeral) ... odd ; (bound form) multi-; poly- ; how (to what extent) (Taiwan pr. [duó]) ; many; much ; too many; in excess,80,1,"a,m,ad,d,v,g",夕
多半,多半,duō bàn,most ; most likely ; mostly,10235,6,"d,m",夕
多边,多邊,duō biān,multilateral,38438,7,b,夕
多次,多次,duō cì,many times ; repeatedly,4428,4,"mq,ad,d",夕
多方面,多方面,duō fāng miàn,in many aspects ; many-sided,22207,6,n,夕
多功能,多功能,duō gōng néng,multifunction ; multifunctional,25765,7,b,夕
多久,多久,duō jiǔ,(not) a long time ; (of time) how long?,2322,2,"r,a",夕
多亏,多虧,duō kuī,luckily ; thanks to,12071,7,v,夕
多劳多得,多勞多得,duō láo duō dé,work more and get more,49146,7,v,夕
多么,多麼,duō me,(in interrogative sentences) how (much etc) ; how (wonderful etc) ; however (difficult it may be etc) ; to what extent ; what (a great idea etc),1940,2,"d,a",夕
多媒体,多媒體,duō méi tǐ,multimedia,15310,6,n,夕
多年,多年,duō nián,for many years ; longstanding ; many years,4233,4,mq,夕
多年来,多年來,duō nián lái,for the past many years,5576,7,,夕
多少,多少,duō shao | duō shǎo,"(phone number, student ID etc) what number? ; amount ; how many? ; how much? ; number ; somewhat",526,1,r,夕
多数,多數,duō shù,majority; most,4376,2,m,夕
多心,多心,duō xīn,oversensitive ; suspicious,34807,7,a,夕
多样,多樣,duō yàng,diverse ; diversity ; manifold,19807,4,"m,a",夕
多余,多餘,duō yú,superfluous ; surplus ; unnecessary,5739,7,a,夕
多元,多元,duō yuán,multi- ; multielement ; multivariant ; multivariate (math.) ; poly-,49030,7,b,夕
多云,多雲,duō yún,cloudy (meteorology),4950,2,,夕
多种,多種,duō zhǒng,many kinds of; multiple; diverse; multi-,7142,4,m,夕
哆嗦,哆嗦,duō suo,to shiver ; to tremble ; uncontrolled shaking of the body,23415,7,v,口
夺,奪,duó,to compete or strive for ; to force one's way through ; to leave out ; to lose ; to seize ; to take away forcibly ; to wrest control of,3462,6,v,大
夺冠,奪冠,duó guàn,fig. to win a championship ; to seize the crown ; to win gold medal,8401,7,"v,vn",大
夺魁,奪魁,duó kuí,to seize ; to win,39965,7,"v,vn",大
夺取,奪取,duó qǔ,to capture ; to seize ; to wrest control of,8232,6,v,大
躲,躲,duǒ,to avoid ; to dodge ; to hide,2378,5,v,身
躲避,躲避,duǒ bì,to avoid (difficulties) ; to dodge ; to evade ; to hide ; to take shelter,7419,7,v,身
躲藏,躲藏,duǒ cáng,to conceal oneself ; to go into hiding ; to take cover,16284,7,v,身
堕落,墮落,duò luò,a fall from grace ; corrupt ; to become depraved ; to degenerate ; to degrade,8016,7,"v,vn",土
舵手,舵手,duò shǒu,helmsman,28050,7,n,舟
朵,朵 | 朶,duǒ,"classifier for flowers, clouds etc ; earlobe ; fig. item on both sides ; flower ; variant of 朵",4920,5,"q,g",木
讹诈,訛詐,é zhà,to blackmail ; to bluff ; to defraud ; to extort under false pretenses,40387,7,"v,vn",讠
俄语,俄語,É yǔ,Russian (language),16273,7,nz,亻
鹅,䳘 | 鵝 | 鵞,é,goose ; variant of 鹅,7741,7,n,鸟
额外,額外,é wài,added ; additional ; extra,6599,7,"b,d",页
厄运,厄運,è yùn,adversity ; bad luck ; misfortune,15845,7,n,厂
恶,惡,wù | è | ě,ashamed ; coarse ; evil ; fierce ; to fear ; to harm ; to hate ; to loathe ; to slander ; ugly ; used in 恶心 ; vicious,3536,7,"a,g,ad,an",心
恶化,惡化,è huà,to worsen,6138,7,"v,vn",心
恶劣,惡劣,è liè,nasty ; of very poor quality ; vile,6454,7,"a,an",心
恶心,噁心 | 惡心,è xīn | ě xīn,bad habit ; disgust ; nausea ; nauseating ; to embarrass (deliberately) ; to feel sick ; variant of 恶心 ; vice ; vicious habit,2463,4,"a,an",心
恶性,惡性,è xìng,malignant ; producing evil ; rapid (decline) ; runaway (inflation) ; vicious (circle) ; wicked,11199,7,b,心
恶意,惡意,è yì,evil intention ; malice,6755,7,"d,n",心
饿,餓,è,hungry ; to be hungry ; to starve (sb),1477,1,"v,a",饣
掠夺,掠奪,lu:è duó,to plunder ; to rob,12733,7,"v,vn",扌
略,略 | 畧,lu:è,(bound form before a single-character verb) a bit; somewhat; slightly ; brief; sketchy ; outline; summary ; plan; strategy ; to capture (territory) ; to omit ; variant of 略,5208,7,"d,g",田
略微,略微,lu:è wēi,a little bit ; slightly,20310,7,d,田
遏制,遏制,è zhì,to check ; to constrain ; to contain ; to hold back ; to keep within limits ; to restrain,14933,7,"v,vn",辶
鳄鱼,鱷魚,è yú,alligator ; crocodile,10043,7,"n,nz",鱼
恩赐,恩賜,ēn cì,favor ; to give charity to sb out of pity,21883,7,"vn,v",心
恩惠,恩惠,ēn huì,favor ; grace,21381,7,n,心
恩情,恩情,ēn qíng,affection ; favor ; grace ; kindness,31449,7,n,心
恩人,恩人,ēn rén,a benefactor ; a person who has significantly helped sb else,21790,6,n,心
恩怨,恩怨,ēn yuàn,gratitude and grudges ; grievances ; grudges ; resentment,12053,7,n,心
儿科,兒科,ér kē,pediatrics,13080,6,n,儿
儿女,兒女,ér nǚ,a young man and a young woman (in love) ; children; sons and daughters,10636,5,n,儿
儿童,兒童,ér tóng,child,1692,4,n,儿
儿子,兒子,ér zi,son,665,1,n,儿
而,而,ér,(indicates causal relation) ; (indicates change of state) ; (indicates contrast) ; and ; and so ; as well as ; but (not) ; yet (not),75,4,"cc,u",而
